Topic,Text
Teknoloji,"Yenilikçi yapay zeka sohbet robotu, analitik ve makine öğrenimi kullanım durumları için sentetik veriler sağlar."
Sanat,"Picasso'nun 'Guernica' tablosu, İspanya İç Savaşı sırasında sivillerin çektiği acıları tasvir eden güçlü bir savaş karşıtı ifadedir."
Spor,Lewis Hamilton rekor kırarak 7 Formula 1 Dünya Şampiyonluğu kazandı.
Yemek,"Suşi, Japonya'da pirinç kullanarak balıkları muhafaza etmenin bir yolu olarak ortaya çıkmıştır."
Müzik,"Beyoncé'nin 'Lemonade' albümü sadakatsizlik, güçlenme ve kendini keşfetme temalarını işleyen görsel bir albüm."
Seyahat,"Çin Seddi, UNESCO Dünya Mirası Listesi'nde yer almaktadır ve 13000 milden fazla uzanmaktadır."
Bilim,Einstein'ın Genel Görelilik Teorisi uzay ve zaman anlayışımızda devrim yarattı.
Tarih,"Harriet Tubman, Yeraltı Demiryolu aracılığıyla yüzlerce köleleştirilmiş insanı özgürlüğe kavuşturdu."
Edebiyat,J.K. Rowling'in 'Harry Potter' serisi dünya çapında 500 milyondan fazla satmıştır.
Çevre,"Amazon Yağmur Ormanları yaklaşık 2,1 milyon mil karelik bir alanı kaplamaktadır ve bu da onu Dünya'daki en büyük tropikal yağmur ormanı yapmaktadır."
Kültür,Doğu Afrika'nın Maasai halkı kendine özgü kırmızı giysileri ve özenle işlenmiş boncuklarıyla tanınır.
Politika,Nelson Mandela devlet başkanı olmadan önce Güney Afrika'da ırk ayrımcılığına karşı mücadele ettiği için 27 yıl hapis yatmıştır.
Eğitim,Malala Yousafzai kız çocuklarının eğitimi için çalışan bir savunucu ve Nobel Ödülü'nü kazanan en genç isim.
Teknoloji,Elon Musk'ın SpaceX'i yeniden kullanılabilir roketleri başarıyla fırlatarak uzay endüstrisinde devrim yarattı.
Sanat,"Vincent van Gogh'un 'Yıldızlı Gece' tablosu, dönen yıldızları ve selvi ağacıyla dünyanın en ünlü tablolarından biridir."
Spor,Serena Williams 23 Grand Slam tekler şampiyonluğu kazanarak Açık Dönem'de en çok şampiyonluk kazanan oyuncu oldu.
Yemek,"Hint mutfağı, biryani ve tereyağlı tavuk gibi yemeklerle çeşitli tatları ve baharatlarıyla bilinir."
Müzik,Bob Dylan'ın 'Blowin' in the Wind' şarkısı barış ve özgürlük hakkında derin sorular soran bir protesto şarkısıdır.
Seyahat,"Büyük Set Resifi, 1400 mil boyunca uzanan dünyanın en büyük mercan resifi sistemidir."
Bilim,"Marie Curie, radyoaktivite alanındaki keşifleri nedeniyle Nobel Ödülü kazanan ilk kadın oldu."
Tarih,"Kleopatra, güzelliği, zekası ve siyasi ittifaklarıyla tanınan eski Mısır'ın son firavunuydu."
Edebiyat,Jane Austen'ın 'Gurur ve Önyargı'sı toplumsal beklentileri ve cinsiyet rollerini irdeleyen klasik bir aşk romanıdır.
Çevre,"Sahra Çölü, yaklaşık 3,5 milyon mil karelik alanıyla dünyanın en büyük sıcak çölüdür."
Kültür,"Kuzey Kutbu'nun İnuit halkı, karmaşık fildişi oymaları ve geleneksel kıyafetleriyle tanınır."
Politika,Aung San Suu Kyi Birmanyalı bir siyasetçi ve Nobel Barış Ödülü sahibi olup halen Myanmar'ın devlet danışmanı olarak görev yapmaktadır.
Eğitim,"Malcolm X, Siyahların kendi kaderlerini tayin etmesini savunan etkili bir sivil haklar lideri ve insan hakları aktivistiydi."
Teknoloji,Steve Jobs Apple Inc. şirketini kurdu ve kişisel bilgisayar endüstrisinde devrim yarattı.
Sanat,"Frida Kahlo'nun 'The Two Fridas' (İki Fridas) adlı eseri, Kahlo'nun Meksika ve Almanya kökenli çifte mirasını inceleyen bir otoportredir."
Spor,Michael Jordan altı NBA şampiyonluğu ve beş MVP ödülü ile bir basketbol efsanesidir.
Yemek,"Tacos, et, fasulye ve salsa gibi çeşitli malzemelerle doldurulmuş mısır veya buğday tortillasıyla yapılan geleneksel bir Meksika yemeğidir."
Müzik,Nirvana'nın 'Smells Like Teen Spirit' şarkısı bir nesli tanımlayan bir grunge marşıdır.
Bilim,Albert Einstein'ın Genel Görelilik Teorisi uzay ve zaman anlayışımızda devrim yarattı.
Teknoloji,"Yapay zeka, sürücüsüz arabalardan kişiselleştirilmiş sağlık hizmetlerine kadar yaşama ve çalışma şeklimizde devrim yaratıyor."
Eğitim,"E-öğrenme platformları, esnek ve uygun fiyatlı eğitim fırsatları sunarak giderek daha popüler hale gelmiştir."
Yemek,"Sürdürülebilir tarım uygulamaları, atıkları azaltmaya ve toprağın sağlığını iyileştirmeye odaklanarak ilgi görmektedir."
Sanat,"Sokak sanatı, kentsel toplulukların çeşitliliğini ve karmaşıklığını yansıtan güçlü bir ifade biçimi olarak ortaya çıkmıştır."
Bilim,"Genetik araştırmalarındaki ilerlemeler, yaşamın kökenine ve türlerin evrimine yeni bir ışık tutuyor."
Spor,"Espor, milyonlarca izleyicinin ilgisini çekerek ve önemli bir gelir yaratarak küresel bir fenomen haline geldi."
Seyahat,"Sürdürülebilir turizm, sorumlu seyahat uygulamalarını teşvik ederek ve kültürel mirası koruyarak yükselişte."
İş Dünyası,Uzaktan çalışma yeni norm haline geldi ve şirketlerin küresel bir yetenek havuzundan yararlanmasına ve maliyetleri düşürmesine olanak sağladı.
Sağlık,"Teletıp, sağlık hizmeti sunumunu dönüştürerek tıbbi hizmetleri daha erişilebilir ve kolay hale getiriyor."
Çevre,"Yenilenebilir enerji kaynakları popülerlik kazanmakta, fosil yakıtlara olan bağımlılığı azaltmakta ve iklim değişikliğini hafifletmektedir."
Teknoloji,"Kuantum bilişim, üstel işlem gücü ve yeni olanaklar sunarak teknoloji endüstrisinde devrim yaratmaya hazırlanıyor."
Eğitim,"Yaşam boyu öğrenme, bireylerin sürekli eğitim ve beceri geliştirme arayışıyla birlikte bir öncelik haline gelmektedir."
Yemek,"Bitki temelli diyetlerin popülaritesi, sağlık ve çevresel kaygılar nedeniyle giderek artmaktadır."
Sanat,"Sanal gerçeklik sanatı, sanatçıların izleyiciler için sürükleyici deneyimler yaratmasını sağlayan yeni bir sınırdır."
Bilim,"Nanoteknoloji, çeşitli sektörlerdeki potansiyel uygulamaları ile araştırma ve inovasyon için yeni yollar açıyor."
Spor,Kadın sporları nihayet tanınırlık ve finansman kazanıyor ve yeni nesil sporculara ilham veriyor.
Seyahat,Müşterilerine gezegenimiz ve evren hakkında eşsiz bir bakış açısı sunan uzay turizmi gerçek oluyor.
İş Dünyası,İş başarısını olumlu sosyal etkiyle birleştiren sosyal girişimcilik yükselişte.
Sağlık,"Ruh sağlığı farkındalığı, bireyler için daha fazla kaynak ve desteğin mevcut olmasıyla birlikte bir öncelik haline gelmektedir."
Çevre,"Döngüsel ekonomi ilkeleri benimsenmekte, atıklar azaltılmakta ve sürdürülebilir üretim ve tüketim teşvik edilmektedir."
Teknoloji,Blockchain teknolojisi finanstan tedarik zinciri yönetimine kadar sektörleri dönüştürüyor.
Eğitim,"Oyunlaştırma, öğrenmeyi daha ilgi çekici ve etkili hale getirmek için kullanılıyor."
Yemek,"Fermente gıdalar, sağlığa faydaları ve eşsiz lezzetleriyle yeniden canlanıyor."
Sanat,"Dijital sanat, sanatçıların eserlerini yeni yollarla yaratmalarına ve paylaşmalarına olanak tanıyarak popülerlik kazanıyor."
